Tool	Tool Editor	Tool Name	Tool Version
Radiance	Stephan Hirth, IBK TU Dresden	Radiance	5.2.0
TAS	Rainer Strobel, PGMM	TAS	9.5.0
Aixlib	Amin Nouri, RWTH Aachen	AixLib	0.7.3
IDA ICE	Stefan Lehr, INNIUS DÖ	IDA ICE	4.8.0.1
ETU	Dr. Rainer Rolffs, ETU Hottgenroth	ETU Simulation	4.1
NANDRAD	Dirk Weiß, IBK TU Dresden	NANDRAD	1.8
Aixlib_Isotrop.tsv	Julian Agudelo, Hochschule München	TRNSYS	18
ETU_Perez.tsv	Dr. Rainer Rolffs, ETU Hottgenroth	ETU Simulation	4.1
ETU2_Isotrop.tsv	Dr. Rainer Rolffs, ETU Hottgenroth	ETU Simulation	4.1
ETUHorizontal_Perez.tsv	Dr. Rainer Rolffs, ETU Hottgenroth	ETU Simulation	4.1
IDAICE_Perez.tsv	Caroline Seifert, INNIUS DÖ	IDA ICE	4.8.0.1
NANDRAD_Isotrop.tsv	Dirk Weiß, IBK TU Dresden	NANDRAD v1.8 Isotrop	1.8
NANDRAD2_Isotrop.tsv	Dirk Weiß, IBK TU Dresden	NANDRAD v2 Isotrop	2
NANDRAD2_Perez.tsv	Dirk Weiß, IBK TU Dresden	NANDRAD v2 Perez	2
THERAKLES_Isotrop.tsv	Stephan Hirth, IBK TU Dresden	THERAKLES Isotrop	3.3
THERAKLES_Perez.tsv	Julian Agudelo, Hochschule München	THERAKLES Perez	3.3
TRNSYS_Isotrop.tsv	Julian Agudelo, Hochschule München	TRNSYS Isotrop	18
TRNSYS_Perez.tsv	Julian Agudelo, Hochschule München	TRNSYS Perez	18
