Stunde im Jahr [h]	Var1.Raumlufttemperatur [C]	Var2.Raumlufttemperatur [C]	Var3.Raumlufttemperatur [C]
0	5	5	5
1	5	4.9391	4.98163
2	5	4.99123	4.99715
3	5	4.98951	4.99676
4	5	4.99159	4.99739
5	4.99997	4.99239	4.99763
6	4.99992	4.99286	4.99773
7	4.99984	4.9931	4.99774
8	4.99972	4.99319	4.99769
9	4.99959	4.9932	4.9976
10	4.99946	4.99317	4.99749
11	4.99933	4.99311	4.99738
12	4.9992	4.99305	4.99727
13	4.99909	4.99299	4.99717
14	4.99898	4.99293	4.99707
15	4.99889	4.99287	4.99699
16	4.99881	4.99283	4.99692
17	4.99874	4.9928	4.99685
18	4.99868	4.99277	4.9968
19	4.99862	4.99274	4.99675
20	4.99858	4.99273	4.99671
21	4.99854	4.99272	4.99668
22	4.99851	4.99271	4.99665
23	4.99848	4.99271	4.99663
24	4.99845	4.99271	4.99661
25	4.99843	4.99271	4.99659
26	4.99841	4.99272	4.99658
27	4.9984	4.99273	4.99657
28	4.99839	4.99274	4.99656
29	4.99838	4.99275	4.99655
30	4.99837	4.99277	4.99654
31	4.99836	4.99278	4.99654
32	4.99835	4.9928	4.99654
33	4.99835	4.99282	4.99654
34	4.99834	4.99284	4.99654
35	4.99834	4.99285	4.99654
36	4.99834	4.99287	4.99654
37	4.99833	4.99289	4.99654
38	4.99833	4.99291	4.99654
39	4.99833	4.99293	4.99654
40	4.99833	4.99295	4.99654
41	4.99833	4.99297	4.99655
42	4.99833	4.99299	4.99655
43	4.99833	4.99301	4.99655
44	4.99833	4.99303	4.99655
45	4.99833	4.99305	4.99656
46	4.99833	4.99308	4.99656
47	4.99833	4.9931	4.99657
48	4.99833	4.99312	4.99657
49	4.99833	4.99314	4.99657
50	4.99833	4.99316	4.99658
51	4.99833	4.99318	4.99658
52	4.99833	4.9932	4.99659
53	4.99833	4.99322	4.99659
54	4.99833	4.99324	4.99659
55	4.99833	4.99326	4.9966
56	4.99833	4.99328	4.9966
57	4.99833	4.99331	4.99661
58	4.99833	4.99332	4.99661
59	4.99833	4.99335	4.99662
60	4.99834	4.99337	4.99662
61	4.99834	4.99339	4.99662
62	4.99834	4.99341	4.99663
63	4.99834	4.99343	4.99663
64	4.99834	4.99345	4.99664
65	4.99834	4.99347	4.99664
66	4.99834	4.99349	4.99665
67	4.99834	4.99351	4.99665
68	4.99834	4.99353	4.99665
69	4.99834	4.99355	4.99666
70	4.99835	4.99357	4.99666
71	4.99835	4.99359	4.99667
72	4.99835	4.99361	4.99667
73	4.99835	4.99363	4.99667
74	4.99835	4.99365	4.99668
75	4.99835	4.99367	4.99668
76	4.99835	4.99369	4.99669
77	4.99835	4.99371	4.99669
78	4.99835	4.99373	4.9967
79	4.99835	4.99375	4.9967
80	4.99836	4.99377	4.99671
81	4.99836	4.99379	4.99671
82	4.99836	4.99381	4.99671
83	4.99836	4.99382	4.99672
84	4.99836	4.99384	4.99672
85	4.99836	4.99386	4.99673
86	4.99836	4.99388	4.99673
87	4.99836	4.9939	4.99673
88	4.99836	4.99392	4.99674
89	4.99836	4.99394	4.99674
90	4.99836	4.99396	4.99675
91	4.99837	4.99398	4.99675
92	4.99837	4.99399	4.99676
93	4.99837	4.99401	4.99676
94	4.99837	4.99403	4.99676
95	4.99837	4.99405	4.99677
96	4.99837	4.99407	4.99677
97	4.99837	4.99409	4.99678
98	4.99837	4.99411	4.99678
99	4.99837	4.99412	4.99678
100	4.99837	4.99414	4.99679
101	4.99838	4.99416	4.99679
102	4.99838	4.99418	4.9968
103	4.99838	4.9942	4.9968
104	4.99838	4.99421	4.99681
105	4.99838	4.99423	4.99681
106	4.99838	4.99425	4.99681
107	4.99838	4.99427	4.99682
108	4.99838	4.99429	4.99682
109	4.99838	4.9943	4.99683
110	4.99838	4.99432	4.99683
111	4.99838	4.99434	4.99683
112	4.99839	4.99436	4.99684
113	4.99839	4.99437	4.99684
114	4.99839	4.99439	4.99685
115	4.99839	4.99441	4.99685
116	4.99839	4.99443	4.99685
117	4.99839	4.99444	4.99686
118	4.99839	4.99446	4.99686
119	4.99839	4.99448	4.99687
120	4.99839	4.9945	4.99687
121	4.99839	4.99451	4.99687
122	4.9984	4.99453	4.99688
123	4.9984	4.99455	4.99688
124	4.9984	4.99456	4.99689
125	4.9984	4.99458	4.99689
126	4.9984	4.9946	4.99689
127	4.9984	4.99461	4.9969
128	4.9984	4.99463	4.9969
129	4.9984	4.99465	4.99691
130	4.9984	4.99467	4.99691
131	4.9984	4.99468	4.99691
132	4.9984	4.9947	4.99692
133	4.9984	4.99471	4.99692
134	4.99841	4.99473	4.99693
135	4.99841	4.99475	4.99693
136	4.99841	4.99476	4.99693
137	4.99841	4.99478	4.99694
138	4.99841	4.9948	4.99694
139	4.99841	4.99481	4.99695
140	4.99841	4.99483	4.99695
141	4.99841	4.99484	4.99695
142	4.99841	4.99486	4.99696
143	4.99841	4.99488	4.99696
144	4.99842	4.99489	4.99697
145	4.99842	4.99491	4.99697
146	4.99842	4.99492	4.99697
147	4.99842	4.99494	4.99698
148	4.99842	4.99496	4.99698
149	4.99842	4.99497	4.99698
150	4.99842	4.99499	4.99699
151	4.99842	4.995	4.99699
152	4.99842	4.99502	4.997
153	4.99842	4.99503	4.997
154	4.99843	4.99505	4.997
155	4.99843	4.99506	4.99701
156	4.99843	4.99508	4.99701
157	4.99843	4.9951	4.99702
158	4.99843	4.99511	4.99702
159	4.99843	4.99512	4.99702
160	4.99843	4.99514	4.99703
161	4.99843	4.99515	4.99703
162	4.99843	4.99517	4.99703
163	4.99843	4.99519	4.99704
164	4.99843	4.9952	4.99704
165	4.99843	4.99521	4.99704
166	4.99844	4.99523	4.99705
167	4.99844	4.99524	4.99705
168	4.99844	4.99526	4.99706
169	4.99844	4.99527	4.99706
170	4.99844	4.99529	4.99706
171	4.99844	4.9953	4.99707
172	4.99844	4.99532	4.99707
173	4.99844	4.99533	4.99708
174	4.99844	4.99535	4.99708
175	4.99844	4.99536	4.99708
176	4.99845	4.99538	4.99709
177	4.99845	4.99539	4.99709
178	4.99845	4.9954	4.99709
179	4.99845	4.99542	4.9971
180	4.99845	4.99543	4.9971
181	4.99845	4.99545	4.99711
182	4.99845	4.99546	4.99711
183	4.99845	4.99548	4.99711
184	4.99845	4.99549	4.99712
185	4.99845	4.9955	4.99712
186	4.99845	4.99552	4.99712
187	4.99845	4.99553	4.99713
188	4.99846	4.99555	4.99713
189	4.99846	4.99556	4.99714
190	4.99846	4.99557	4.99714
191	4.99846	4.99559	4.99714
192	4.99846	4.9956	4.99715
193	4.99846	4.99561	4.99715
194	4.99846	4.99563	4.99715
195	4.99846	4.99564	4.99716
