Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
0	20	1.36E-05	20	20	1.28E-05	20	20	0	20	20	1.28E-05	20
1	20	1.26E-06	20	20	4.68E-07	20	20	20	20	20	4.68E-07	20
2	20	1.24E-06	20	20	4.45E-07	20	20	20	20	20	4.45E-07	20
3	20	1.23E-06	20	20	4.37E-07	20	20	20	20	20	4.37E-07	20
4	20	1.23E-06	20	20	4.32E-07	20	20	20	20	20	4.32E-07	20
5	20	1.22E-06	20	20	4.29E-07	20	20	20	20	20	4.29E-07	20
6	20	1.22E-06	20	20	4.27E-07	20	20	20	20	20	4.27E-07	20
7	20	1.22E-06	20	20	4.26E-07	20	20	20	20	20	4.26E-07	20
8	20	1.22E-06	20	20	4.25E-07	20	20	20	20	20	4.25E-07	20
9	20	1.22E-06	20	20	4.25E-07	20	20	20	20	20	4.25E-07	20
10	20	1.22E-06	20	20	4.25E-07	20	20	20	20	20	4.25E-07	20
11	20	1.22E-06	20	20	4.24E-07	20	20	20	20	20	4.24E-07	20
12	20	1.22E-06	20	20	4.24E-07	20	20	20	20	20	4.24E-07	20
13	20	1.22E-06	20	20	4.24E-07	20	20	20	20	20	4.24E-07	20
14	20	1.22E-06	20	20	4.24E-07	20	20	20	20	20	4.24E-07	20
15	20	1.22E-06	20	20	4.24E-07	20	20	20	20	20	4.24E-07	20
16	20	1.22E-06	20	20	4.24E-07	20	20	28.19	20	20	4.24E-07	20
17	20	1.22E-06	20	20	4.24E-07	20	20	28.9	20	20	4.24E-07	20
18	20	1.22E-06	20	20	4.23E-07	20	20	29.04	20	20	4.23E-07	20
19	20	1.22E-06	20	20	4.23E-07	20	20	29.1	20	20	4.23E-07	20
20	20	1.22E-06	20	20	4.23E-07	20	20	29.12	20	20	4.23E-07	20
21	20	1.22E-06	20	20	4.23E-07	20	20	29.12	20	20	4.23E-07	20
22	20	1.22E-06	20	20	4.23E-07	20	20	29.11	20	20	4.23E-07	20
23	20	1.22E-06	20	20	4.23E-07	20	20	29.09	20	20	4.23E-07	20
24	20	1.22E-06	20	20	4.23E-07	20	20	29.06	20	20	4.23E-07	20
25	20	1.22E-06	20	20	4.23E-07	20	20	20	20	20	4.23E-07	20
26	20	1.22E-06	20	20	4.23E-07	20	20	20	20	20	4.23E-07	20
27	20	1.22E-06	20	20	4.23E-07	20	20	20	20	20	4.23E-07	20
28	20	1.22E-06	20	20	4.23E-07	20	20	20	20	20	4.23E-07	20
29	20	1.22E-06	20	20	4.22E-07	20	20	20	20	20	4.22E-07	20
30	20	1.22E-06	20	20	4.22E-07	20	20	20	20	20	4.22E-07	20
31	20	1.22E-06	20	20	4.22E-07	20	20	20	20	20	4.22E-07	20
32	20	1.22E-06	20	20	4.22E-07	20	20	20	20	20	4.22E-07	20
33	20	1.22E-06	20	20	4.22E-07	20	20	20	20	20	4.22E-07	20
34	20	1.22E-06	20	20	4.22E-07	20	20	20	20	20	4.22E-07	20
35	20	1.22E-06	20	20	4.22E-07	20	20	20	20	20	4.22E-07	20
36	20	1.22E-06	20	20	4.22E-07	20	20	20	20	20	4.22E-07	20
37	20	1.22E-06	20	20	4.22E-07	20	20	20	20	20	4.22E-07	20
38	20	1.22E-06	20	20	4.22E-07	20	20	20	20	20	4.22E-07	20
39	20	1.22E-06	20	20	4.22E-07	20	20	20	20	20	4.22E-07	20
40	20	1.22E-06	20	20	4.21E-07	20	20	25.58	20	20	4.21E-07	20
41	20	1.22E-06	20	20	4.21E-07	20	20	26.06	20	20	4.21E-07	20
42	20	1.22E-06	20	20	4.21E-07	20	20	26.16	20	20	4.21E-07	20
43	20	1.22E-06	20	20	4.21E-07	20	20	26.2	20	20	4.21E-07	20
44	20	1.22E-06	20	20	4.21E-07	20	20	26.21	20	20	4.21E-07	20
45	20	1.22E-06	20	20	4.21E-07	20	20	26.21	20	20	4.21E-07	20
46	20	1.22E-06	20	20	4.21E-07	20	20	26.2	20	20	4.21E-07	20
47	20	1.22E-06	20	20	4.21E-07	20	20	26.19	20	20	4.21E-07	20
48	20	1.22E-06	20	20	4.21E-07	20	20	26.18	20	20	4.21E-07	20
49	20	1.22E-06	20	20	4.21E-07	20	20	20	20	20	4.21E-07	20
50	20	1.22E-06	20	20	4.21E-07	20	20	20	20	20	4.21E-07	20
51	20	1.22E-06	20	20	4.20E-07	20	20	20	20	20	4.20E-07	20
52	20	1.22E-06	20	20	4.20E-07	20	20	20	20	20	4.20E-07	20
53	20	1.22E-06	20	20	4.20E-07	20	20	20	20	20	4.20E-07	20
54	20	1.22E-06	20	20	4.20E-07	20	20	20	20	20	4.20E-07	20
55	20	1.22E-06	20	20	4.20E-07	20	20	20	20	20	4.20E-07	20
56	20	1.21E-06	20	20	4.20E-07	20	20	20	20	20	4.20E-07	20
57	20	1.21E-06	20	20	4.20E-07	20	20	20	20	20	4.20E-07	20
58	20	1.21E-06	20	20	4.20E-07	20	20	20	20	20	4.20E-07	20
59	20	1.21E-06	20	20	4.20E-07	20	20	20	20	20	4.20E-07	20
60	20	1.21E-06	20	20	4.20E-07	20	20	20	20	20	4.20E-07	20
61	20	1.21E-06	20	20	4.20E-07	20	20	20	20	20	4.20E-07	20
62	20	1.21E-06	20	20	4.19E-07	20	20	20	20	20	4.19E-07	20
63	20	1.21E-06	20	20	4.19E-07	20	20	20	20	20	4.19E-07	20
64	20	1.21E-06	20	20	4.19E-07	20	20	23.8	20	20	4.19E-07	20
65	20	1.21E-06	20	20	4.19E-07	20	20	24.13	20	20	4.19E-07	20
66	20	1.21E-06	20	20	4.19E-07	20	20	24.2	20	20	4.19E-07	20
67	20	1.21E-06	20	20	4.19E-07	20	20	24.22	20	20	4.19E-07	20
68	20	1.21E-06	20	20	4.19E-07	20	20	24.23	20	20	4.19E-07	20
69	20	1.21E-06	20	20	4.19E-07	20	20	24.23	20	20	4.19E-07	20
70	20	1.21E-06	20	20	4.19E-07	20	20	24.23	20	20	4.19E-07	20
71	20	1.21E-06	20	20	4.19E-07	20	20	24.22	20	20	4.19E-07	20
72	20	1.21E-06	20	20	4.19E-07	20	20	24.21	20	20	4.19E-07	20
73	20	1.21E-06	20	20	4.19E-07	20	20	20	20	20	4.19E-07	20
74	20	1.21E-06	20	20	4.18E-07	20	20	20	20	20	4.18E-07	20
75	20	1.21E-06	20	20	4.18E-07	20	20	20	20	20	4.18E-07	20
76	20	1.21E-06	20	20	4.18E-07	20	20	20	20	20	4.18E-07	20
77	20	1.21E-06	20	20	4.18E-07	20	20	20	20	20	4.18E-07	20
78	20	1.21E-06	20	20	4.18E-07	20	20	20	20	20	4.18E-07	20
79	20	1.21E-06	20	20	4.18E-07	20	20	20	20	20	4.18E-07	20
80	20	1.21E-06	20	20	4.18E-07	20	20	20	20	20	4.18E-07	20
81	20	1.21E-06	20	20	4.18E-07	20	20	20	20	20	4.18E-07	20
82	20	1.21E-06	20	20	4.18E-07	20	20	20	20	20	4.18E-07	20
83	20	1.21E-06	20	20	4.18E-07	20	20	20	20	20	4.18E-07	20
84	20	1.21E-06	20	20	4.18E-07	20	20	20	20	20	4.18E-07	20
85	20	1.21E-06	20	20	4.18E-07	20	20	20	20	20	4.18E-07	20
86	20	1.21E-06	20	20	4.17E-07	20	20	20	20	20	4.17E-07	20
87	20	1.21E-06	20	20	4.17E-07	20	20	20	20	20	4.17E-07	20
88	20	1.21E-06	20	20	4.17E-07	20	20	22.59	20	20	4.17E-07	20
89	20	1.21E-06	20	20	4.17E-07	20	20	22.81	20	20	4.17E-07	20
90	20	1.21E-06	20	20	4.17E-07	20	20	22.86	20	20	4.17E-07	20
91	20	1.21E-06	20	20	4.17E-07	20	20	22.88	20	20	4.17E-07	20
92	20	1.21E-06	20	20	4.17E-07	20	20	22.88	20	20	4.17E-07	20
93	20	1.21E-06	20	20	4.17E-07	20	20	22.88	20	20	4.17E-07	20
94	20	1.21E-06	20	20	4.17E-07	20	20	22.88	20	20	4.17E-07	20
95	20	1.21E-06	20	20	4.17E-07	20	20	22.87	20	20	4.17E-07	20
96	20	1.21E-06	20	20	4.17E-07	20	20	22.87	20	20	4.17E-07	20
97	20	1.21E-06	20	20	4.17E-07	20	20	20	20	20	4.17E-07	20
98	20	1.21E-06	20	20	4.17E-07	20	20	20	20	20	4.17E-07	20
99	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
100	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
101	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
102	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
103	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
104	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
105	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
106	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
107	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
108	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
109	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
110	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
111	20	1.21E-06	20	20	4.16E-07	20	20	20	20	20	4.16E-07	20
112	20	1.21E-06	20	20	4.15E-07	20	20	21.76	20	20	4.15E-07	20
113	20	1.21E-06	20	20	4.15E-07	20	20	21.92	20	20	4.15E-07	20
114	20	1.21E-06	20	20	4.15E-07	20	20	21.95	20	20	4.15E-07	20
115	20	1.21E-06	20	20	4.15E-07	20	20	21.96	20	20	4.15E-07	20
116	20	1.21E-06	20	20	4.15E-07	20	20	21.96	20	20	4.15E-07	20
117	20	1.21E-06	20	20	4.15E-07	20	20	21.96	20	20	4.15E-07	20
118	20	1.21E-06	20	20	4.15E-07	20	20	21.96	20	20	4.15E-07	20
119	20	1.21E-06	20	20	4.15E-07	20	20	21.96	20	20	4.15E-07	20
120	20	1.21E-06	20	20	4.15E-07	20	20	21.95	20	20	4.15E-07	20
121	20	1.21E-06	20	20	4.15E-07	20	20	20	20	20	4.15E-07	20
122	20	1.21E-06	20	20	4.15E-07	20	20	20	20	20	4.15E-07	20
123	20	1.21E-06	20	20	4.15E-07	20	20	20	20	20	4.15E-07	20
124	20	1.21E-06	20	20	4.15E-07	20	20	20	20	20	4.15E-07	20
125	20	1.21E-06	20	20	4.15E-07	20	20	20	20	20	4.15E-07	20
126	20	1.21E-06	20	20	4.14E-07	20	20	20	20	20	4.14E-07	20
127	20	1.21E-06	20	20	4.14E-07	20	20	20	20	20	4.14E-07	20
128	20	1.21E-06	20	20	4.14E-07	20	20	20	20	20	4.14E-07	20
129	20	1.21E-06	20	20	4.14E-07	20	20	20	20	20	4.14E-07	20
130	20	1.21E-06	20	20	4.14E-07	20	20	20	20	20	4.14E-07	20
131	20	1.21E-06	20	20	4.14E-07	20	20	20	20	20	4.14E-07	20
132	20	1.21E-06	20	20	4.14E-07	20	20	20	20	20	4.14E-07	20
133	20	1.21E-06	20	20	4.14E-07	20	20	20	20	20	4.14E-07	20
134	20	1.21E-06	20	20	4.14E-07	20	20	20	20	20	4.14E-07	20
135	20	1.21E-06	20	20	4.14E-07	20	20	20	20	20	4.14E-07	20
136	20	1.21E-06	20	20	4.14E-07	20	20	21.2	20	20	4.14E-07	20
137	20	1.21E-06	20	20	4.14E-07	20	20	21.31	20	20	4.14E-07	20
138	20	1.21E-06	20	20	4.14E-07	20	20	21.33	20	20	4.14E-07	20
139	20	1.21E-06	20	20	4.14E-07	20	20	21.34	20	20	4.14E-07	20
140	20	1.21E-06	20	20	4.13E-07	20	20	21.34	20	20	4.13E-07	20
141	20	1.21E-06	20	20	4.13E-07	20	20	21.34	20	20	4.13E-07	20
142	20	1.21E-06	20	20	4.13E-07	20	20	21.34	20	20	4.13E-07	20
143	20	1.21E-06	20	20	4.13E-07	20	20	21.33	20	20	4.13E-07	20
144	20	1.21E-06	20	20	4.13E-07	20	20	21.33	20	20	4.13E-07	20
145	20	1.21E-06	20	20	4.13E-07	20	20	20	20	20	4.13E-07	20
146	20	1.21E-06	20	20	4.13E-07	20	20	20	20	20	4.13E-07	20
147	20	1.21E-06	20	20	4.13E-07	20	20	20	20	20	4.13E-07	20
148	20	1.21E-06	20	20	4.13E-07	20	20	20	20	20	4.13E-07	20
149	20	1.21E-06	20	20	4.13E-07	20	20	20	20	20	4.13E-07	20
150	20	1.21E-06	20	20	4.13E-07	20	20	20	20	20	4.13E-07	20
151	20	1.21E-06	20	20	4.13E-07	20	20	20	20	20	4.13E-07	20
152	20	1.21E-06	20	20	4.13E-07	20	20	20	20	20	4.13E-07	20
153	20	1.21E-06	20	20	4.13E-07	20	20	20	20	20	4.13E-07	20
