Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
0	20.00	-37.25	34.90	20.00	-37.25	34.90	20.00	-30.60	32.24	20.00	-30.59	32.23
1	20.00	-37.25	34.90	20.00	-37.25	34.90	20.00	-30.60	32.24	20.00	-30.59	32.23
2	20.00	-35.22	34.09	20.00	-35.23	34.09	20.00	-29.06	31.62	20.00	-29.05	31.62
3	20.00	-33.81	33.52	20.00	-33.81	33.52	20.00	-27.96	31.18	20.00	-27.95	31.18
4	20.00	-32.69	33.08	20.00	-32.69	33.08	20.00	-27.07	30.83	20.00	-27.07	30.83
5	20.00	-31.75	32.70	20.00	-31.75	32.70	20.00	-26.31	30.52	20.00	-26.30	30.52
6	20.00	-30.90	32.36	20.00	-30.90	32.36	20.00	-25.62	30.25	20.00	-25.62	30.25
7	20.00	-30.13	32.05	20.00	-30.13	32.05	20.00	-24.99	29.99	20.00	-24.98	29.99
8	20.00	-29.40	31.76	20.00	-29.40	31.76	20.00	-24.39	29.75	20.00	-24.38	29.75
9	20.00	-28.70	31.48	20.00	-28.70	31.48	20.00	-23.81	29.52	20.00	-23.80	29.52
10	20.00	-28.02	31.21	20.00	-28.02	31.21	20.00	-23.25	29.30	20.00	-23.25	29.30
11	20.00	-27.37	30.95	20.00	-27.37	30.95	20.00	-22.71	29.08	20.00	-22.71	29.08
12	20.00	-26.74	30.69	20.00	-26.74	30.69	20.00	-22.18	28.87	20.00	-22.18	28.87
13	20.00	-26.12	30.45	20.00	-26.12	30.45	20.00	-21.67	28.67	20.00	-21.67	28.67
14	20.00	-25.51	30.20	20.00	-25.52	30.20	20.00	-21.17	28.47	20.00	-21.17	28.47
15	20.00	-24.93	29.97	20.00	-24.93	29.97	20.00	-20.68	28.27	20.00	-20.68	28.27
16	29.87	-1.62	30.52	29.87	-1.62	30.52	28.19	-1.35	28.73	28.18	-1.35	28.72
17	30.73	-0.14	30.78	30.73	-0.14	30.78	28.90	-0.12	28.95	28.90	-0.12	28.95
